INFO:tamil_translator:Initialized free Google Translate (deep-translator)
WARNING:tamil_translator:API translation failed for 'KR Thoppur': ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
WARNING:tamil_translator:API translation failed for 'MalaitirupattÅ«r': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaitirupatt%C3%85%C2%ABr (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaitirupattūr': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaitirupatt%C5%ABr (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaitirupattūr': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaitirupatt%C5%ABr (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiveppankuttai': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiveppankuttai (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiveppankuttai': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiveppankuttai (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'MalaiyÅ«r': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiy%C3%85%C2%ABr (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiyadi': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiyadi (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiyadi': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiyadi (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiyadippatti': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiyadippatti (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiyadippatti': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiyadippatti (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiyalankottam': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiyalankottam (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiyalankottam': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiyalankottam (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiyalatheru': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiyalatheru (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiyalatheru': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiyalatheru (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiyampalayam': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiyampalayam (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'malaiyampalayam ad colony': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=malaiyampalayam+ad+colony (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'MalaiyÄmpattu': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiy%C3%84%C2%81mpattu (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malaiyāmpattu': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malaiy%C4%81mpattu (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
