id,old_name,new_name
166,"APSRTC Bus Station , Puttur",Puttur - APSRTC
194,"Bus Terminal, Kakkanad",Kakkanad - Bus Terminal
219,"TNSTC Bus Stand , Kallakurichi",Kallakurichi - TNSTC
271,"Kerala State Road Transport Corperation, Mananthavadi",Mananthavadi - Kerala State Road Transport Corperation
337,"Mukkadamukku, Chavara",Chavara - Mukkadamukku
339,"Vazhayilmukku, Chavara",Chavara - Vazhayilmukku
403,"KSRTC BUS STAND, KOOTHATUKULAM",KOOTHATUKULAM - KSRTC
460,"Waiting shed, Pazhayidom",Pazhayidom - Waiting shed
492,"Koyil Vazhi bus stand, Tiruppur",Tiruppur - Koyil Vazhi
513,"KSRTC Bus Stand, Urdigere",Urdigere - KSRTC
520,"APSRTC Bus Station , Palamaneru",Palamaneru - APSRTC
521,"APSRTC Bus Station , Chittoor",Chittoor - APSRTC
522,"APSRTC Bus Station , Punganur",Punganur - APSRTC
523,"APSRTC Bus Station , Kuppam",Kuppam - APSRTC
524,"APSRTC Bus Station , Venkatagiri Kota",Venkatagiri Kota - APSRTC
525,"APSRTC Bus Station , Kanipakam",Kanipakam - APSRTC
527,"APSRTC Bus Station , Pichchatur",Pichchatur - APSRTC
528,"APSRTC Bus Station , Nagalapuram",Nagalapuram - APSRTC
530,"APSRTC Bus Station , Satyavedu",Satyavedu - APSRTC
532,"APSRTC Bus Station , Pakala",Pakala - APSRTC
546,"Madhavarm APSRTC , TNSTC Bus Terminus",TNSTC Bus Terminus - Madhavarm APSRTC
553,"TNSTC Tanthiperiyar Bus Depot , Tiruvannamalai",Tiruvannamalai - TNSTC Tanthiperiyar Bus Depot
554,"TNSTC Bus Depot , Tiruvannamalai",Tiruvannamalai - TNSTC Bus Depot
670,"TNSTC Bus Depot , Palani",Palani - TNSTC Bus Depot
671,"M.G.R Mattuthavani Bus Stand , Madurai",Madurai - Mattuthavani
672,"Periyar Bus Stand , Madurai",Madurai - Periyar
833,"Kerala State Road Transport Cooperation Bus Depot, Ponkunnam",Ponkunnam - Kerala State Road Transport Cooperation Bus Depot
846,"Private Bus Station, Kottarakkara",Kottarakkara - Private
850,"IGBT Bus Stand, Manjeri",Manjeri - IGBT
851,"New Bus Stand, Manjeri",Manjeri - New
877,"Kerala State Road Transport Cooperation Bus Station, Irinjalakuda",Irinjalakuda - Kerala State Road Transport Cooperation
1003,"Kerala State Road Transport Corporation, Perumbavoor",Perumbavoor - Kerala State Road Transport Corporation
1044,"Private Bus Stand, North Paravur",North Paravur - Private
1060,"KSRTC BUS STATION, PIRAVOM",PIRAVOM - KSRTC
1084,"Private Bus Stand,Perumbavoor",Perumbavoor - Private
1085,"Muncipal Bus Stand,Thankalam",Thankalam - Muncipal
1131,"Paruthumpara Bus stop towards Njaliyakuzhy, Changanassery",Changanassery - Paruthumpara Bus stop towards Njaliyakuzhy
1142,"Pothukal Bus Station, Pothukal",Pothukal - Pothukal
1240,"Private Bus Stand, Koothattukulam",Koothattukulam - Private
1241,"KSRTC Bus Stand, Koothattukulam",Koothattukulam - KSRTC
1242,"Kerala State Road Transport Corporation, Kacheri, Attingal","Kacheri, Attingal - Kerala State Road Transport Corporation"
1243,"Private bus stand, kacheri jn",kacheri jn - Private
1245,"Koyil vazhi bus stand, Tiruppur",Tiruppur - Koyil vazhi
1246,"New Bus Stand, Tiruppur",Tiruppur - New
1251,"Jose Thomas Padinjarekkara Private Bus Terminal, Kottaramattam, Palai","Kottaramattam, Palai - Jose Thomas Padinjarekkara Private Bus Terminal"
1297,"Bus Terminal 2, 2A",2A - Bus Terminal 2
1308,"Kerala State Road Transport Corporation Bus Stand, Munnar",Munnar - Kerala State Road Transport Corporation
1318,"Annai Indira Gandhi Bus Stand, Karumandurai",Karumandurai - Annai Indira Gandhi
2020,"Central Government Officers Quarters, General Pool Accomodation",General Pool Accomodation - Central Government Officers Quarters
2582,"Nettithozhu,Kochera",Kochera - Nettithozhu
2760,"AECS Layout, A block",A block - AECS Layout
3084,"Pallippuram, Karambathur P O",Karambathur P O - Pallippuram
3256,"Aasharimukku,amarap.o",amarap.o - Aasharimukku
3257,"Thottikada, Upputhode",Upputhode - Thottikada
3267,"Gouri city, Upputhode",Upputhode - Gouri city
3447,"Pallikkamarup,  Edakkulam",Edakkulam - Pallikkamarup
3448,"Kulikadavunkal, Punnasheripadi",Punnasheripadi - Kulikadavunkal
3492,"Kalathil Tribal Colony, Madakkimala",Madakkimala - Kalathil Tribal Colony
3493,"Mangalamkunn Tribal Colony, Panangandi",Panangandi - Mangalamkunn Tribal Colony
3495,"Pandyattvayal Tribal Colony, Kariambadi",Kariambadi - Pandyattvayal Tribal Colony
3496,"Koraladi Tribal Colony, Kolavayal",Kolavayal - Koraladi Tribal Colony
3497,"Njanummel Tribal colony, Kolavayal",Kolavayal - Njanummel Tribal colony
3499,"Moothimoola Kuruma Colony, Kariyambadi",Kariyambadi - Moothimoola Kuruma Colony
3500,"Thottamkolli Tribal Colony, Kuppadi",Kuppadi - Thottamkolli Tribal Colony
3501,"Thottamkolli Tribal Colony, Kuppadi",Kuppadi - Thottamkolli Tribal Colony
3502,"Shastri Nagar Tribal Colony, Aalamdhatta",Aalamdhatta - Shastri Nagar Tribal Colony
3505,"Oorapakk Kunn Tribal Colony, Vazhavatta",Vazhavatta - Oorapakk Kunn Tribal Colony
3506,"Naikollikunn Tribal Colony, Pakkam",Pakkam - Naikollikunn Tribal Colony
3507,"Naikollikunn Kuruma Colony, Pakkam",Pakkam - Naikollikunn Kuruma Colony
3508,"Unnikkan Tribal Colony, Pakkam",Pakkam - Unnikkan Tribal Colony
3509,"Palakattkunn tribal Colony, Pakkam",Pakkam - Palakattkunn tribal Colony
3510,"Kaippadam Tribal Colony, Variad",Variad - Kaippadam Tribal Colony
3511,"Theneri Kuruma Colony, Theneri",Theneri - Theneri Kuruma Colony
3512,"Bharathan Colony, Theneri",Theneri - Bharathan Colony
3513,"Malakkad Kuruma Colony, Pakyanikunn",Pakyanikunn - Malakkad Kuruma Colony
3514,"Malakkad tribal Colony, Pakyanikunn",Pakyanikunn - Malakkad tribal Colony
3535,"Banashankari 6th Stage, 11th Block",11th Block - Banashankari 6th Stage
3563,"Ministry of Communications Employees Co-operative Housing Society, 6th Phase",6th Phase - Ministry of Communications Employees Co-operative Housing Society
3580,"Colony, Manhappatta",Manhappatta - Colony
3593,"Kalmparambu Colony, Naduvattom",Naduvattom - Kalmparambu Colony
3595,"Mythri Colony, Kuttippuram",Kuttippuram - Mythri Colony
3601,"Kubara Colony, Nagaparambu",Nagaparambu - Kubara Colony
3661,"Colony, Pizhaku",Pizhaku - Colony
3662,"Colony, Veliayath",Veliayath - Colony
3663,"Colony, Kudampidi",Kudampidi - Colony
3664,"Colony, Elivali",Elivali - Colony
3704,"Puzhamkuni Tribal Colony, Vazhavatta",Vazhavatta - Puzhamkuni Tribal Colony
3705,"Kallupadi Kuruma Colony, Kallupadi",Kallupadi - Kallupadi Kuruma Colony
3707,"Aavilatt Tribal Colony, Karingannikunn",Karingannikunn - Aavilatt Tribal Colony
3708,"4 cent Colony, Karingannikunn",Karingannikunn - 4 cent Colony
3710,"Alakunn Colony, Karinganikunn",Karinganikunn - Alakunn Colony
3711,"Kudalmoola Colony, Kolavayal",Kolavayal - Kudalmoola Colony
3712,"Tazhe Kozhimoola Tribal Colony, Kolavayal",Kolavayal - Tazhe Kozhimoola Tribal Colony
3713,"Thazhe Njanummal Colony, Kolavayal",Kolavayal - Thazhe Njanummal Colony
3724,"Ittiyarmala Colony,Kalamboor",Kalamboor - Ittiyarmala Colony
3730,"Colony, Mundakkutti",Mundakkutti - Colony
3778,"Vengoor, Ambedkar Colony",Ambedkar Colony - Vengoor
3867,"Lakshamveed Colony, Kundlikkad",Kundlikkad - Lakshamveed Colony
3980,"Colony , Thuvvur",Thuvvur - Colony
3981,"Colony , Thuvvur",Thuvvur - Colony
3982,"Colony , Thuvvur",Thuvvur - Colony
3983,"Colony , Thuvvur",Thuvvur - Colony
3984,"Colony , Thuvvur",Thuvvur - Colony
3985,"Colony , Thuvvur",Thuvvur - Colony
3986,"Colony , Thuvvur",Thuvvur - Colony
3987,"Makarakunn Colony , Thuvvur",Thuvvur - Makarakunn Colony
3988,"Colony , Thuvvur",Thuvvur - Colony
3989,"Colony , Thuvvur",Thuvvur - Colony
3990,"Colony , Thuvvur",Thuvvur - Colony
3991,"Colony , Thuvvur",Thuvvur - Colony
3993,"Colony , Thuvvur",Thuvvur - Colony
4130,"Kottayam Colony, Vandaikkal",Vandaikkal - Kottayam Colony
4159,"Girijan Colony, Chokkad",Chokkad - Girijan Colony
4179,"Ambedkar Colony, Puducode",Puducode - Ambedkar Colony
4185,"Lakshamveedu Colony, Pattoola",Pattoola - Lakshamveedu Colony
4193,"Oravankunnu Colony, Oravankunnu",Oravankunnu - Oravankunnu Colony
4194,"Chokkad Colony, Chokkad",Chokkad - Chokkad Colony
4248,"Lakshamveed Colony,Kattumulla",Kattumulla - Lakshamveed Colony
4329,"Lakshamveed Colony, Mallamballa",Mallamballa - Lakshamveed Colony
4335,"Michabhoomi Colony, Ponthiyampuram",Ponthiyampuram - Michabhoomi Colony
4359,"Lakshamveed Colony, Mundampokk",Mundampokk - Lakshamveed Colony
4379,"Jawahar Colony, Achickal",Achickal - Jawahar Colony
4381,"IHDP Colony, Achickal",Achickal - IHDP Colony
4399,"SC Colony, Choondacherry",Choondacherry - SC Colony
5304,"Chungam, Paplassery",Paplassery - Chungam
6045,"Krishna Nagar, Periyar Road",Periyar Road - Krishna Nagar
6069,"D Silva Layout , Happy Valley",Happy Valley - D Silva Layout
6328,"Colony, Valiyakunnu",Valiyakunnu - Colony
6329,"Colony, Valiyakunnu, Attingal","Valiyakunnu, Attingal - Colony"
6330,"Colony, Valiyakunnu",Valiyakunnu - Colony
6342,"Panayil Colony, Ambalamukku, Attingal","Ambalamukku, Attingal - Panayil Colony"
6343,"Colony, Seevelikonam",Seevelikonam - Colony
6345,"Colony, Kottiyodu",Kottiyodu - Colony
6349,"Areekkakunnu Leksham Veedu Colony, Pravithanam",Pravithanam - Areekkakunnu Leksham Veedu Colony
