id,old_name,new_name
4510,"Lakshamveed Colony, Mallamballa",Mallamballa - Lakshamveed Colony
4516,"Michabhoomi Colony, Ponthiyampuram",Ponthiyampuram - Michabhoomi Colony
4540,"Lakshamveed Colony, Mundampokk",Mundampokk - Lakshamveed Colony
4560,"Jawahar Colony, Achickal",Achickal - Jawahar Colony
4562,"IHDP Colony, Achickal",Achickal - IHDP Colony
4580,"SC Colony, Choondacherry",Choondacherry - SC Colony
5485,"Chungam, Paplassery",Paplassery - Chungam
6226,"Krishna Nagar, Periyar Road",Periyar Road - Krishna Nagar
6250,"D Silva Layout , Happy Valley",Happy Valley - D Silva Layout
6509,"Colony, Valiyakunnu",Valiyakunnu - Colony
6510,"Colony, Valiyakunnu, Attingal","Valiyakunnu, Attingal - Colony"
6523,"Panayil Colony, Ambalamukku, Attingal","Ambalamukku, Attingal - Panayil Colony"
6524,"Colony, Seevelikonam",Seevelikonam - Colony
6526,"Colony, Kottiyodu",Kottiyodu - Colony
6530,"Areekkakunnu Leksham Veedu Colony, Pravithanam",Pravithanam - Areekkakunnu Leksham Veedu Colony
6536,"Jayaprakash (J.P.) Nagar, Cauvery Nagar",Cauvery Nagar - Jayaprakash (J.P.) Nagar
6550,"OLH Colony, Elackad",Elackad - OLH Colony
16644,"Elampally, Neyyattusserry",Neyyattusserry - Elampally
22996,"Edalipparakudy Tribal Settlement, Edamalakudy",Edamalakudy - Edalipparakudy Tribal Settlement
26697,"Ambalapadykudy Tribal Settlement, Edamalakudy",Edamalakudy - Ambalapadykudy Tribal Settlement
27542,"2/B Gammanaya, Hurigaswewa",Hurigaswewa - 2/B Gammanaya
31618,"ayyanthole, punkunnam village office",punkunnam village office - ayyanthole
31813,"APSRTC Bus Station , Puttur",Puttur - APSRTC
31841,"Bus Terminal, Kakkanad",Kakkanad - Bus Terminal
31866,"TNSTC Bus Stand , Kallakurichi",Kallakurichi - TNSTC
31918,"Kerala State Road Transport Corperation, Mananthavadi",Mananthavadi - Kerala State Road Transport Corperation
31984,"Mukkadamukku, Chavara",Chavara - Mukkadamukku
31986,"Vazhayilmukku, Chavara",Chavara - Vazhayilmukku
32050,"KSRTC BUS STAND, KOOTHATUKULAM",KOOTHATUKULAM - KSRTC
32107,"Waiting shed, Pazhayidom",Pazhayidom - Waiting shed
32139,"Koyil Vazhi bus stand, Tiruppur",Tiruppur - Koyil Vazhi
32160,"KSRTC Bus Stand, Urdigere",Urdigere - KSRTC
32167,"APSRTC Bus Station , Palamaneru",Palamaneru - APSRTC
32168,"APSRTC Bus Station , Chittoor",Chittoor - APSRTC
32169,"APSRTC Bus Station , Punganur",Punganur - APSRTC
32170,"APSRTC Bus Station , Kuppam",Kuppam - APSRTC
32171,"APSRTC Bus Station , Venkatagiri Kota",Venkatagiri Kota - APSRTC
32172,"APSRTC Bus Station , Kanipakam",Kanipakam - APSRTC
32174,"APSRTC Bus Station , Pichchatur",Pichchatur - APSRTC
32175,"APSRTC Bus Station , Nagalapuram",Nagalapuram - APSRTC
32177,"APSRTC Bus Station , Satyavedu",Satyavedu - APSRTC
32179,"APSRTC Bus Station , Pakala",Pakala - APSRTC
32193,"Madhavarm APSRTC , TNSTC Bus Terminus",TNSTC Bus Terminus - Madhavarm APSRTC
32200,"TNSTC Tanthiperiyar Bus Depot , Tiruvannamalai",Tiruvannamalai - TNSTC Tanthiperiyar Bus Depot
32201,"TNSTC Bus Depot , Tiruvannamalai",Tiruvannamalai - TNSTC Bus Depot
32317,"TNSTC Bus Depot , Palani",Palani - TNSTC Bus Depot
32318,"M.G.R Mattuthavani Bus Stand , Madurai",Madurai - Mattuthavani
32319,"Periyar Bus Stand , Madurai",Madurai - Periyar
32480,"Kerala State Road Transport Cooperation Bus Depot, Ponkunnam",Ponkunnam - Kerala State Road Transport Cooperation Bus Depot
32493,"Private Bus Station, Kottarakkara",Kottarakkara - Private
32497,"IGBT Bus Stand, Manjeri",Manjeri - IGBT
32498,"New Bus Stand, Manjeri",Manjeri - New
32524,"Kerala State Road Transport Cooperation Bus Station, Irinjalakuda",Irinjalakuda - Kerala State Road Transport Cooperation
32650,"Kerala State Road Transport Corporation, Perumbavoor",Perumbavoor - Kerala State Road Transport Corporation
32691,"Private Bus Stand, North Paravur",North Paravur - Private
32707,"KSRTC BUS STATION, PIRAVOM",PIRAVOM - KSRTC
32731,"Private Bus Stand,Perumbavoor",Perumbavoor - Private
32732,"Muncipal Bus Stand,Thankalam",Thankalam - Muncipal
32778,"Paruthumpara Bus stop towards Njaliyakuzhy, Changanassery",Changanassery - Paruthumpara Bus stop towards Njaliyakuzhy
32789,"Pothukal Bus Station, Pothukal",Pothukal - Pothukal
32887,"Private Bus Stand, Koothattukulam",Koothattukulam - Private
32888,"KSRTC Bus Stand, Koothattukulam",Koothattukulam - KSRTC
32889,"Kerala State Road Transport Corporation, Kacheri, Attingal","Kacheri, Attingal - Kerala State Road Transport Corporation"
32890,"Private bus stand, kacheri jn",kacheri jn - Private
32892,"Koyil vazhi bus stand, Tiruppur",Tiruppur - Koyil vazhi
32893,"New Bus Stand, Tiruppur",Tiruppur - New
32898,"Jose Thomas Padinjarekkara Private Bus Terminal, Kottaramattam, Palai","Kottaramattam, Palai - Jose Thomas Padinjarekkara Private Bus Terminal"
32944,"Bus Terminal 2, 2A",2A - Bus Terminal 2
32955,"Kerala State Road Transport Corporation Bus Stand, Munnar",Munnar - Kerala State Road Transport Corporation
32965,"Annai Indira Gandhi Bus Stand, Karumandurai",Karumandurai - Annai Indira Gandhi
33667,"Central Government Officers Quarters, General Pool Accomodation",General Pool Accomodation - Central Government Officers Quarters
34229,"Nettithozhu,Kochera",Kochera - Nettithozhu
34407,"AECS Layout, A block",A block - AECS Layout
34731,"Pallippuram, Karambathur P O",Karambathur P O - Pallippuram
34903,"Aasharimukku,amarap.o",amarap.o - Aasharimukku
34904,"Thottikada, Upputhode",Upputhode - Thottikada
34914,"Gouri city, Upputhode",Upputhode - Gouri city
35094,"Pallikkamarup,  Edakkulam",Edakkulam - Pallikkamarup
35095,"Kulikadavunkal, Punnasheripadi",Punnasheripadi - Kulikadavunkal
35139,"Kalathil Tribal Colony, Madakkimala",Madakkimala - Kalathil Tribal Colony
35140,"Mangalamkunn Tribal Colony, Panangandi",Panangandi - Mangalamkunn Tribal Colony
35142,"Pandyattvayal Tribal Colony, Kariambadi",Kariambadi - Pandyattvayal Tribal Colony
35143,"Koraladi Tribal Colony, Kolavayal",Kolavayal - Koraladi Tribal Colony
35144,"Njanummel Tribal colony, Kolavayal",Kolavayal - Njanummel Tribal colony
35146,"Moothimoola Kuruma Colony, Kariyambadi",Kariyambadi - Moothimoola Kuruma Colony
35147,"Thottamkolli Tribal Colony, Kuppadi",Kuppadi - Thottamkolli Tribal Colony
35148,"Thottamkolli Tribal Colony, Kuppadi",Kuppadi - Thottamkolli Tribal Colony
35149,"Shastri Nagar Tribal Colony, Aalamdhatta",Aalamdhatta - Shastri Nagar Tribal Colony
