name,type,latitude,longitude,osm_id
Vellore Old Bus Stand,bus_stop,12.9221524,79.1325219,1348980037
boarder,bus_stop,8.9713384,77.2616747,1354561546
vanji nagar busstop,bus_stop,8.9571904,77.2669211,1354562623
KK Nagar MTC Terminus,bus_stop,13.0354223,80.2057167,1391028778
IOC MTC Terminus,bus_stop,13.1390688,80.2820311,1391573894
Thirovttriyur MTC Terminus,bus_stop,13.1721641,80.3050914,1391573897
Puttalam Bus Station,bus_stop,8.0278817,79.8333513,1400433846
Thiruporur Bus Stand,bus_stop,12.7220793,80.1877141,1423338598
Mangammanapalya,bus_stop,12.9070833,77.6351607,1428116573
Mathur MMDA,bus_stop,13.1713741,80.2475064,1428608424
Old Bus Stand,bus_stop,11.9297481,79.8239961,1463853118
"Bus Terminal, Kakkanad",bus_stop,10.0207497,76.3436819,1472174498
BMTC,bus_stop,13.0367319,77.5237031,1473053490
Pappanamcode,bus_stop,8.4705379,76.9810403,1488474515
Kuvempunagar 2nd Stage,bus_stop,13.0730486,77.5413377,1529386309
கொல்லங்கோடு - കൊല്ലങ്കോട്,bus_stop,8.2889398,77.1076149,1621386442
Thennambulam Mill,bus_stop,10.4325189,79.7756464,1666769374
Thennambulam Road,bus_stop,10.4302847,79.7777063,1666770107
Sathiraththadi Bus Stop,bus_stop,10.4248918,79.7835285,1666770511
Karuppambulam Road Bus Stop,bus_stop,10.4225028,79.7858227,1666770866
Kuravappulam Kadaitheru,bus_stop,10.4213315,79.7878694,1666771487
Pallipalayam Bus Stop,bus_stop,11.3646481,77.7477792,1668205940
Karuppambulam,bus_stop,10.388013,79.7885762,1671336757
Medavakkam Bus Terminus,bus_stop,12.91956,80.1822542,1693526124
Sangama Mekedatu Bus Service,bus_stop,12.2880479,77.4337595,1734930814
Tuticorin Old Bus Stand,bus_stop,8.8036808,78.1407943,1766472210
Mysore Road Bus Station,bus_stop,12.9534085,77.5435706,1789736226
Private Bus Station,bus_stop,13.260185,76.4752039,1792724056
Peenya 2nd Stage,bus_stop,13.0108586,77.5069287,1794171016
Chintamani Busstand,bus_stop,13.4003275,78.0561454,1807179433
SRS Bus Station,bus_stop,12.9803795,77.5760204,1809771508
VRL Bus Station,bus_stop,12.9803246,77.5754733,1809771510
Krishnagiri Town Bus Station கிருஷ்ணகிரி டவுன்,bus_stop,12.5286397,78.217862,1822742936
கும்பகோணம்,bus_stop,10.9587158,79.3880667,1861428239
KSRTC Bus Depot Kilimanoor,bus_stop,8.7748267,76.8805613,1877768220
Melur,bus_stop,10.0298825,78.3351592,1878166058
"TNSTC Bus Stand , Kallakurichi",bus_stop,11.7386883,78.9647767,1878343480
Banavara Bus Stand,bus_stop,13.4088362,76.1616067,1884979201
Gudiyattam New Bus Stand,bus_stop,12.9453643,78.8715003,1888223232
Chathannoor KSRTC Stand,bus_stop,8.8570173,76.7221481,1917699333
Surandai Bus stand,bus_stop,8.9782856,77.4207497,1918590889
Karur Mini Bus Station,bus_stop,10.961245,78.0756548,1925243313
കോതമംഗലം,bus_stop,10.0604552,76.6287507,1930595751
NLC Central Bus Stand,bus_stop,11.6053297,79.507189,1971370218
Main bus stand,bus_stop,11.4424545,77.6943255,1974106069
Shravanabelagola Bus Stand,bus_stop,12.8587532,76.4852999,2018020610
Punjai Puliampatti Bus Stand,bus_stop,11.3497442,77.1669714,2025908172
Old Bus Stand,bus_stop,10.7667373,79.6348708,2048647910
Arakkonam Bus stand,bus_stop,13.0854038,79.6606982,2061092424
பாவூர்சத்திரம்,bus_stop,8.9166759,77.380681,2123457121
Kattumannarkoil,bus_stop,11.2769052,79.5510103,2123494583
Chikkalasandra Bus Stop,bus_stop,12.9151671,77.552159,2123629154
AGS Layout Bus Stand,bus_stop,12.9123803,77.5371751,2126404931
Kaliyikkavila,bus_stop,8.3346714,77.1715122,2152043257
தக்கலை - തക്കല,bus_stop,8.2429148,77.3184506,2152043504
Killinochchi,bus_stop,9.3833191,80.4066967,2152832340
Aduturai,bus_stop,11.0173474,79.4802463,2153276819
Vaitheeshwaran Koil,bus_stop,11.1927144,79.709468,2153276927
Vettavalam Bus Stand,bus_stop,12.1079033,79.2463447,2156884619
Manapparai Bus Stand,bus_stop,10.6063135,78.4200783,2191968092
Virudhunagar New Bus Stand,bus_stop,9.5731903,77.9511292,2191971705
Valluvar Nagar Bus Stop,bus_stop,12.8933829,80.183493,2210065615
Bus Stand,bus_stop,12.7597494,76.4265897,2264653449
Udangudi main bus stand,bus_stop,8.430256,78.0314391,2268366730
Kuravilangad Junction,bus_stop,9.7576158,76.5610757,2271279520
Devarayana Durga Bus Stop,bus_stop,13.3735696,77.2075272,2279033118
Arekere MICO Layout Bus Station,bus_stop,12.8894502,77.5940375,2281199651
Private Bus Station,bus_stop,9.7914693,76.8523262,2288992305
Ayarkkunnam Private Bus Station,bus_stop,9.6354156,76.6065123,2291876211
Kuravilangad Bus Stand,bus_stop,9.7593514,76.5617627,2294085419
Hunsur Government Bus Stand,bus_stop,12.308888,76.294535,2353097439
Old Government bus station,bus_stop,12.3084574,76.2911063,2354824513
Mallinatha Pura,bus_stop,12.3415003,76.4397433,2380320087
Malleswaram 18th Cross,bus_stop,13.0098511,77.5691769,2394086882
Wipro EC Bus Stand,bus_stop,12.8389214,77.6597223,2397431941
Infosys Bus Station,bus_stop,12.3581765,76.5993942,2402532855
New Bus Stand,bus_stop,9.5166299,78.094991,2445664101
Kallumkadavu Bus Stand,bus_stop,9.0945492,76.8525862,2508302672
Ram Nagar,bus_stop,11.2459985,77.1014899,2567888369
Sellanur,bus_stop,11.2551269,77.0992958,2567888740
Kolli Pannai,bus_stop,11.2624083,77.0975846,2567890753
Vadakkalur,bus_stop,11.268064,77.0980567,2567891584
Karia Goundanur,bus_stop,11.2723306,77.0981425,2567891716
Karia Goundanur Kovil,bus_stop,11.2761974,77.0979816,2567892251
Gingee Bus Station,bus_stop,12.2542017,79.4165021,2578988769
Pallam,bus_stop,8.0991759,77.4319461,2592708041
SETC,bus_stop,8.1822429,77.4354897,2592755333
Kozhencherry Private Bus Stand,bus_stop,9.3371345,76.7049673,2605819078
"Kerala State Road Transport Corperation, Mananthavadi",bus_stop,11.8045868,76.0071542,2623815260
Mayiladuthurai Old Bus Stand,bus_stop,11.1019959,79.650491,2804608303
Changanassery,bus_stop,9.4456858,76.5409609,2875692897
Old Municipal Bus Stand,bus_stop,9.7127516,76.6846347,2883013286
Poonjar,bus_stop,9.6734751,76.8132759,2883196477
വെഞ്ഞാറമ്മൂട്,bus_stop,8.6779888,76.9103719,2883508357
Venjaramoodu Private Bus Stand,bus_stop,8.6796539,76.9123997,2883508360
Edakkara Bus Stand,bus_stop,11.3565821,76.306033,2884932592
KSRTC,bus_stop,9.977111,76.5797924,2885383658
Pathanamthitta KSRTC bus stand,bus_stop,9.2671433,76.7895169,2897254089
Kayamkulam Private Bus Stand,bus_stop,9.1737306,76.5006206,2904289089
Ranni Bus stand,bus_stop,9.3780115,76.7793302,2913831391
Mangattukavala Bus Stand,bus_stop,9.9026373,76.7248837,2916974293
Mallappally Bus Stand,bus_stop,9.4460338,76.6573806,2917357737
Changanassery Perunna Private Bus Stand,bus_stop,9.4435115,76.544237,2920194581
Kilimanoor Private Bus Stand,bus_stop,8.7700796,76.878644,2933131841
Chavakkad,bus_stop,10.5820424,76.0222013,2934096620
poothotta new bus stand,bus_stop,9.846508,76.3841681,3133561980
Chamundi Hill,bus_stop,12.2749002,76.6711107,3216970887
Kunigal KSRTC Bus Stand,bus_stop,13.0251811,77.0293837,3220276811
Chembarambakkam,bus_stop,13.0318036,80.0555281,3264836692
Guindy Bus Stand,bus_stop,13.0090591,80.2107931,3264888779
HSR Layout,bus_stop,12.9127356,77.6380054,3300149440
Attibele,bus_stop,12.7778976,77.7711926,3334324984
Konni,bus_stop,9.2288446,76.8483014,3447915389
ആയൂർ,bus_stop,8.8985287,76.8596861,3526233529
Gudiyattam Old Bus Stand,bus_stop,12.9438193,78.8700445,3532951086
Vadavalli Bus Stand,bus_stop,11.0267551,76.9058305,3623163884
Aniyapuram Bus Stop,bus_stop,11.1410796,78.1585632,3627084049
Sathagalli,bus_stop,12.3331112,76.6931774,3630719407
bus stop,bus_stop,10.7820873,76.2786167,3664130320
Hassan Bus Station,bus_stop,12.9981795,76.1046362,3684504991
Poompuhar Bus Stand,bus_stop,11.1442194,79.8533891,3780080257
Athikkayam,bus_stop,9.3875221,76.8431476,3811026548
Mangapetta Bus Stop,bus_stop,9.4817991,76.9266056,3812254105
Paruva-Kattikkal Bus Stop,bus_stop,9.4078373,76.8666504,3812342517
Sikkal Bus Stop,bus_stop,10.757349,79.800102,3844632734
Cheranalloor Ferry Bus Station,bus_stop,10.0722225,76.2827585,3864435009
Thapalkaddi Juction,bus_stop,9.6607665,80.04608,3865615671
Vedaranyam,bus_stop,10.3765292,79.8516776,3869542176
Pattambi Bus Stand,bus_stop,10.8012672,76.1791235,3872826044
മലപ്പുറം കെ.എസ്.ആർ.ടി.സി,bus_stop,11.0425516,76.0800732,3883265125
Medical College,bus_stop,8.522508,76.9300559,3906562538
Thangassery Bus Station,bus_stop,8.8825221,76.5694202,3906976442
Local Bus Stand;தர்மபுரி,bus_stop,12.1348525,78.162584,3922114934
Hogenakkal,bus_stop,12.1208468,77.7786828,3922126457
Pennagaram,bus_stop,12.1336581,77.8973484,3922126458
Alappuzha Railway Station,bus_stop,9.4850082,76.3226246,3951434588
Tagachguppe Bus Stop,bus_stop,12.9594232,77.2884221,4008824462
Bus Stand Galnewa,bus_stop,8.0351321,80.4800093,4059273139
Thambuttegama Bus Station,bus_stop,8.1561538,80.2969409,4089614484
Paranthan,bus_stop,9.4369804,80.4073022,4109810982
Thermal Bus Station,bus_stop,11.5968504,79.478,4120545566
Old Gudahalli,bus_stop,12.9609947,77.5508936,4130929491
Bus Station Puttanahalli,bus_stop,13.1110497,77.5797494,4242256789
ottupara bus stand,bus_stop,10.6661583,76.2543865,4292205903
Thudupathi Bus Station,bus_stop,11.3024237,77.5492361,4306384096
